,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
350,Obidos,BR,-1.92,-55.52,97.59,32,78,7.58,broken clouds
351,Bonthe,SL,7.53,-12.51,78.76,83,100,12.84,light rain
352,Umm Lajj,SA,25.02,37.27,89.65,58,1,6.49,clear sky
353,Khatanga,RU,71.97,102.5,39.6,80,0,4.18,clear sky
354,Zhezkazgan,KZ,47.8,67.71,50.0,34,1,8.95,clear sky
355,Aden,YE,12.78,45.04,86.38,71,33,8.72,scattered clouds
356,Esmeraldas,BR,-19.76,-44.31,86.0,25,0,8.05,clear sky
357,Springbok,ZA,-29.66,17.89,59.0,40,0,2.44,clear sky
358,Savalou,BJ,7.93,1.98,79.56,86,51,5.75,moderate rain
359,Quepos,CR,9.42,-84.17,80.01,69,40,5.82,scattered clouds
360,Santa Cruz Do Capibaribe,BR,-7.96,-36.2,85.48,33,21,13.62,few clouds
361,Lethem,GY,3.38,-59.8,91.04,53,1,3.15,clear sky
362,Florianopolis,BR,-27.61,-48.5,73.99,78,90,4.7,overcast clouds
363,Waipawa,NZ,-41.41,175.52,51.8,87,88,21.92,overcast clouds
364,Pangnirtung,CA,66.15,-65.71,42.8,75,75,12.75,broken clouds
365,Angoram,PG,-4.06,144.07,73.0,97,5,2.62,clear sky
366,Ostrovnoy,RU,68.05,39.51,54.86,78,66,15.64,broken clouds
367,Sambava,MG,-14.27,50.17,71.89,71,1,16.87,clear sky
368,Tinskoy,RU,56.15,96.92,47.91,76,56,7.34,broken clouds
369,Mombaca,BR,-5.74,-39.63,94.98,22,0,6.82,clear sky
370,Siwana,IN,25.63,72.42,86.05,64,11,9.06,few clouds
371,Along,IN,28.17,94.77,73.78,91,100,0.81,overcast clouds
372,Nouadhibou,MR,20.93,-17.03,84.2,62,100,12.75,light rain
373,Ler,SS,8.3,30.14,73.15,89,85,3.13,overcast clouds
374,Kodiak,US,57.79,-152.41,53.6,93,90,23.04,light rain
375,Wajima,JP,37.4,136.9,81.7,74,36,8.88,scattered clouds
376,Slave Lake,CA,55.28,-114.77,48.2,81,75,10.29,broken clouds
377,Izegem,BE,50.92,3.21,66.99,56,60,3.0,broken clouds
378,Poya,NC,-21.35,165.15,67.15,81,98,4.07,overcast clouds
379,Hassan,IN,13.0,76.1,71.31,89,100,8.9,moderate rain
380,Tulum,MX,20.22,-87.47,87.8,70,40,9.17,scattered clouds
381,Xiaoweizhai,CN,26.19,107.51,67.42,92,100,3.06,overcast clouds
382,Salina Cruz,MX,16.17,-95.2,84.06,69,99,11.79,overcast clouds
383,Sestri Levante,IT,44.27,9.4,75.99,70,7,1.99,clear sky
384,Svetlogorsk,BY,52.63,29.73,66.47,73,100,4.47,overcast clouds
385,Constitucion,CL,-35.33,-72.42,59.59,56,0,9.91,clear sky
386,Hovd,MN,48.01,91.64,59.94,41,28,6.38,scattered clouds
387,Jardim,BR,-21.48,-56.14,100.35,14,36,6.22,scattered clouds
388,Chipinge,ZW,-20.19,32.62,56.55,67,1,6.82,clear sky
389,Dingle,PH,11.0,122.67,77.7,89,89,3.15,overcast clouds
390,Tazovskiy,RU,67.47,78.7,45.81,77,6,7.31,clear sky
391,Wheeling,US,42.14,-87.93,64.99,93,75,13.87,broken clouds
392,Shingu,JP,33.73,135.98,79.27,89,100,17.25,overcast clouds
393,Brawley,US,32.98,-115.53,100.0,31,1,6.93,clear sky
394,Lalitpur,NP,27.67,85.33,73.4,94,75,5.82,broken clouds
395,Yumen,CN,40.28,97.2,66.72,26,2,15.23,clear sky
396,Quatre Cocos,MU,-20.21,57.76,73.0,78,40,10.29,scattered clouds
397,Shakawe,BW,-18.37,21.85,75.38,19,0,5.66,clear sky
398,Am Timan,TD,11.03,20.28,74.84,90,100,6.35,overcast clouds
399,Fairbanks,US,64.84,-147.72,43.0,100,1,10.29,clear sky
400,Maceio,BR,-9.67,-35.74,80.6,65,40,16.11,scattered clouds
401,San Luis,AR,-33.3,-66.34,60.21,41,47,9.95,scattered clouds
402,Kahului,US,20.89,-156.47,75.2,73,40,9.17,scattered clouds
403,Berdigestyakh,RU,62.1,126.7,42.85,93,29,6.44,scattered clouds
404,Sorland,NO,67.67,12.69,53.6,81,75,13.87,shower rain
405,Rosetta,EG,31.4,30.42,77.63,83,0,12.64,clear sky
406,Dorogobuzh,RU,54.91,33.3,62.62,87,99,6.29,light rain
407,Kinsale,IE,51.71,-8.53,63.0,77,75,9.17,broken clouds
408,Rocha,UY,-34.48,-54.33,56.23,63,0,11.03,clear sky
409,Hofn,IS,64.25,-15.21,50.0,93,90,10.29,mist
410,Northam,GB,51.03,-4.22,61.0,82,89,8.01,overcast clouds
411,Huambo,AO,-12.78,15.74,74.07,20,2,4.32,clear sky
412,La Serena,CL,-29.91,-71.25,57.2,76,20,14.99,few clouds
413,Ponta Delgada,PT,37.73,-25.67,71.6,68,75,23.04,broken clouds
414,Luganville,VU,-15.53,167.17,76.62,84,90,10.54,light rain
415,Bratsk,RU,56.13,101.61,42.8,81,69,6.71,broken clouds
416,Labuhan,ID,-6.88,112.21,78.03,81,72,9.75,broken clouds
417,Mombetsu,JP,44.35,143.35,68.0,81,57,1.99,broken clouds
418,Mandurah,AU,-32.55,115.7,57.99,79,100,5.01,overcast clouds
419,Boutersem,BE,50.83,4.83,64.99,55,80,4.7,broken clouds
420,Kurchum,KZ,48.57,83.65,54.97,49,47,9.89,scattered clouds
421,Port Lincoln,AU,-34.73,135.87,67.41,30,39,23.89,scattered clouds
422,La Romana,DO,18.43,-68.97,89.6,66,40,11.41,scattered clouds
423,Berlevag,NO,70.86,29.09,53.6,76,51,16.11,shower rain
424,Saint-Joseph,RE,-21.37,55.62,68.0,88,28,4.7,scattered clouds
425,Payo,ID,-3.75,103.64,75.87,78,98,2.33,overcast clouds
426,Inirida,CO,3.87,-67.92,93.6,48,19,1.88,few clouds
427,Manokwari,ID,-0.87,134.08,79.47,76,98,3.65,overcast clouds
428,Kushmurun,KZ,52.45,64.63,53.01,72,82,7.76,broken clouds
429,Tura,IN,25.52,90.22,75.09,95,100,4.97,moderate rain
430,Prainha,BR,-1.8,-53.48,94.86,40,16,5.7,few clouds
431,Kenai,US,60.55,-151.26,48.0,81,90,5.82,overcast clouds
432,Hualmay,PE,-11.1,-77.61,66.69,64,91,9.73,overcast clouds
433,Skjervoy,NO,70.03,20.97,51.8,87,75,14.99,broken clouds
434,Japura,ID,-0.32,102.35,74.77,87,83,1.72,broken clouds
435,Tamiahua,MX,21.27,-97.45,81.61,82,100,15.39,overcast clouds
436,Garoua,CM,9.3,13.4,86.0,62,20,6.93,few clouds
437,Manadhoo,MV,5.77,73.38,82.6,76,94,18.32,overcast clouds
438,Yenagoa,NG,4.92,6.26,79.54,76,90,7.49,overcast clouds
439,Palmeiras De Goias,BR,-16.8,-49.93,102.42,12,5,1.01,clear sky
440,Avera,US,33.19,-82.53,82.4,48,1,10.29,clear sky
441,Salumbar,IN,24.13,74.05,80.35,79,24,2.73,few clouds
442,Yima,CN,34.74,111.88,79.0,99,0,2.08,light rain
443,Wanning,CN,18.8,110.4,82.13,85,97,5.86,overcast clouds
444,Christchurch,NZ,-43.53,172.63,48.0,87,18,8.05,few clouds
445,Okhotsk,RU,59.38,143.3,51.12,91,94,7.05,light rain
446,Quincy,US,42.25,-71.0,79.0,49,54,4.7,broken clouds
447,Nabire,ID,-3.37,135.48,76.66,88,97,3.18,overcast clouds
448,Gamba,GA,-2.65,10.0,75.36,79,26,10.07,scattered clouds
449,Seoul,KR,37.57,126.98,66.2,100,90,13.27,light rain
450,Tommot,RU,58.96,126.29,48.56,89,19,2.06,few clouds
451,Urumqi,CN,43.8,87.6,71.6,40,100,6.71,overcast clouds
452,Dunedin,NZ,-45.87,170.5,48.0,74,16,4.0,few clouds
453,Aksarka,RU,66.56,67.8,45.5,62,0,1.83,clear sky
454,Puerto Lempira,HN,15.27,-83.77,87.8,74,40,6.44,scattered clouds
455,Morondava,MG,-20.28,44.28,73.22,73,14,5.82,few clouds
456,Cabinda,AO,-5.55,12.2,74.03,86,98,6.78,overcast clouds
457,Weligama,LK,5.97,80.42,77.9,77,100,14.34,light rain
458,Vyritsa,RU,59.41,30.35,61.0,72,75,2.24,broken clouds
459,Kashi,CN,39.45,75.98,75.2,27,40,6.71,scattered clouds
460,Namatanai,PG,-3.67,152.43,79.34,79,87,6.24,overcast clouds
461,Vostok,RU,46.49,135.88,55.74,89,100,2.64,overcast clouds
462,Venice,US,27.1,-82.45,88.0,66,40,4.7,light rain
463,Laguna,US,38.42,-121.42,82.99,51,1,4.7,haze
464,Pietarsaari,FI,63.65,22.68,60.01,87,94,6.93,overcast clouds
465,Requena,ES,39.49,-1.1,84.99,31,38,10.0,scattered clouds
466,Mega,ET,4.05,38.3,61.75,78,47,13.89,scattered clouds
467,Thaton,MM,16.92,97.37,80.28,88,100,3.69,moderate rain
468,Oktyabrskiy,RU,54.48,53.47,52.81,74,91,1.57,overcast clouds
469,Escanaba,US,45.75,-87.06,66.99,71,90,18.34,overcast clouds
470,Hala,PK,25.81,68.42,89.6,59,0,6.93,haze
471,Baruun-Urt,MN,46.68,113.28,53.47,84,0,5.39,clear sky
472,Pajacuaran,MX,20.12,-102.57,72.66,73,100,4.85,overcast clouds
473,Kieta,PG,-6.22,155.63,79.18,75,8,0.49,clear sky
474,Tecoanapa,MX,16.52,-98.75,85.06,65,96,3.47,overcast clouds
475,Yulara,AU,-25.24,130.99,68.0,24,0,4.7,clear sky
476,Mount Gambier,AU,-37.83,140.77,55.4,58,4,12.75,clear sky
477,Mikuni,JP,36.22,136.15,82.4,74,75,4.7,light intensity shower rain
478,Ligayan,PH,4.65,119.47,84.65,71,7,7.56,clear sky
479,Fernley,US,39.61,-119.25,80.01,20,0,5.99,clear sky
480,Katherine,AU,-14.47,132.27,78.8,29,4,8.05,clear sky
481,Mashivka,UA,49.44,34.87,72.88,29,9,8.79,clear sky
482,Gbadolite,CD,4.28,21.02,72.63,93,85,2.46,light rain
483,Corralillo,CU,22.98,-80.59,86.5,57,44,10.69,light rain
484,Barquisimeto,VE,10.07,-69.32,82.4,69,17,14.99,few clouds
485,Backi Petrovac,RS,45.36,19.59,86.0,35,0,5.82,clear sky
486,Maridi,SS,4.92,29.47,68.97,96,100,1.92,light rain
487,Lingao,CN,19.91,109.69,82.22,80,93,7.11,overcast clouds
488,Bonfim,BR,3.08,-59.95,91.38,50,1,4.25,clear sky
489,Chabahar,IR,25.29,60.64,84.2,79,0,11.41,clear sky
490,Lagoa,PT,39.05,-27.98,68.74,74,85,22.7,overcast clouds
491,Tyukalinsk,RU,55.87,72.2,44.47,89,98,7.78,overcast clouds
492,Nalobikha,RU,53.2,84.6,47.48,60,100,4.99,overcast clouds
493,Zhangye,CN,38.93,100.45,70.03,29,3,3.69,clear sky
494,Pizarro,CO,4.95,-77.37,77.68,91,100,13.13,moderate rain
495,Bengkulu,ID,-3.8,102.27,76.06,89,88,5.21,overcast clouds
496,Arbazh,RU,57.68,48.31,54.84,84,7,5.95,clear sky
497,Vitim,RU,59.45,112.56,58.69,86,84,7.31,broken clouds
498,Le Mars,US,42.79,-96.17,84.2,51,1,11.41,clear sky
499,Kalat,PK,29.02,66.59,69.89,21,0,4.23,clear sky
500,Kihei,US,20.79,-156.47,75.2,73,40,9.17,scattered clouds
501,Moron,AR,-34.65,-58.62,60.01,58,0,9.17,clear sky
502,Nemuro,JP,43.32,145.57,67.03,98,97,10.29,overcast clouds
503,Troitsko-Pechorsk,RU,62.71,56.2,54.43,92,89,3.69,overcast clouds
504,Saint-Augustin,CA,51.23,-58.65,64.85,53,6,16.02,clear sky
505,Zatoka,UA,46.07,30.47,82.4,34,1,4.83,clear sky
506,Peniche,PT,39.36,-9.38,82.99,50,0,11.99,clear sky
507,Talara,PE,-4.58,-81.27,67.71,70,0,19.77,clear sky
508,Eureka,US,40.8,-124.16,64.0,77,1,5.99,clear sky
509,Tara,RU,56.89,74.37,43.61,96,100,6.93,overcast clouds
510,Luz,BR,-19.8,-45.69,88.12,23,12,2.24,few clouds
511,Khasan,RU,42.43,130.64,64.6,80,98,4.61,overcast clouds
512,Naifaru,MV,5.44,73.37,82.45,78,86,15.7,overcast clouds
513,Smithers,CA,54.78,-127.17,51.8,100,90,5.82,light rain
514,Kano,NG,12.0,8.52,80.53,70,100,9.26,overcast clouds
515,Irtyshskiy,RU,58.33,68.13,46.54,86,100,6.35,light rain
516,Te Anau,NZ,-45.42,167.72,34.65,89,14,0.67,few clouds
517,Lemgo,DE,52.03,8.9,64.4,59,31,8.05,scattered clouds
518,Jamame,SO,0.07,42.75,75.97,77,36,9.53,scattered clouds
519,Yangambi,CD,0.81,24.43,73.36,84,68,2.04,broken clouds
520,Buarcos,PT,40.17,-8.88,89.01,42,0,11.41,clear sky
521,Kavaratti,IN,10.57,72.64,82.31,78,100,28.1,heavy intensity rain
522,Morros,BR,-9.45,-46.3,95.99,15,10,8.46,clear sky
523,Tevaitoa,PF,-16.78,-151.5,78.4,74,54,8.79,broken clouds
524,Mjolby,SE,58.33,15.12,55.4,81,54,10.29,heavy intensity shower rain
525,Marsh Harbour,BS,26.54,-77.06,84.96,69,99,9.42,overcast clouds
526,Safaga,EG,26.73,33.94,90.37,47,51,5.44,broken clouds
527,Piracaia,BR,-23.05,-46.36,86.0,27,18,12.75,few clouds
528,Poronaysk,RU,49.22,143.12,59.59,82,100,1.77,overcast clouds
529,Ciudad Guayana,VE,8.35,-62.65,90.5,60,34,1.03,scattered clouds
530,Fort Nelson,CA,58.81,-122.7,42.8,100,90,3.36,mist
531,Gorontalo,ID,0.54,123.06,74.86,88,73,2.48,broken clouds
532,Kutum,SD,14.2,24.67,84.31,38,32,8.9,scattered clouds
533,Zhengjiatun,CN,43.51,123.51,63.68,91,28,4.74,scattered clouds
534,Otane,NZ,-39.88,176.63,46.0,91,100,1.01,light rain
535,Nha Trang,VN,12.25,109.18,86.0,74,20,6.93,few clouds
536,Vestmannaeyjar,IS,63.44,-20.27,51.8,100,90,25.28,moderate rain
537,Sao Joao Da Barra,BR,-21.64,-41.05,87.8,43,0,11.41,clear sky
538,Deputatskiy,RU,69.3,139.9,40.68,92,100,3.85,overcast clouds
539,Cotonou,BJ,6.37,2.42,82.4,74,40,16.11,scattered clouds
540,Tanakpur,IN,29.08,80.12,80.44,74,4,3.58,clear sky
541,Sault Sainte Marie,CA,46.52,-84.33,66.2,52,1,12.75,clear sky
542,Jacutinga,BR,-22.29,-46.61,96.01,13,79,1.99,broken clouds
543,Bathsheba,BB,13.22,-59.52,87.8,66,40,14.99,scattered clouds
544,Winneba,GH,5.35,-0.62,82.4,65,20,16.11,few clouds
545,Sarany,RU,58.5,58.88,50.23,95,87,4.29,overcast clouds
546,Roma,US,43.21,-75.46,69.8,52,20,9.17,few clouds
547,Ucluelet,CA,48.93,-125.55,57.99,100,90,2.42,fog
548,Gashua,NG,12.87,11.05,88.99,51,34,7.7,scattered clouds
549,Deulgaon Raja,IN,20.02,76.03,79.48,80,83,1.68,light rain
550,Port Macquarie,AU,-31.43,152.92,50.0,93,1,4.32,clear sky
551,Endicott,US,42.1,-76.05,70.0,63,20,4.7,few clouds
552,Ust-Nera,RU,64.57,143.2,45.52,79,100,3.47,light rain
553,Qui Nhon,VN,13.77,109.23,81.57,80,23,4.52,few clouds
554,Lata,PT,40.16,-8.33,95.0,46,0,9.48,clear sky
555,Grand Gaube,MU,-20.01,57.66,73.0,73,51,5.01,broken clouds
556,Maragogi,BR,-9.01,-35.22,78.26,64,0,10.45,clear sky
557,Vaitape,PF,-16.52,-151.75,78.39,75,74,8.55,light rain
558,Linxia,CN,35.6,103.21,58.3,57,59,2.17,broken clouds
559,Phalombe,MW,-15.81,35.65,63.64,62,8,5.97,clear sky
560,Pichayevo,RU,53.24,42.2,66.49,41,0,5.28,clear sky
561,Huilong,CN,31.81,121.66,81.0,71,35,13.15,scattered clouds
562,Hienghene,NC,-20.68,164.93,69.39,82,99,10.74,light rain
563,Sioux Lookout,CA,50.1,-91.92,55.4,87,75,9.17,broken clouds
564,Amahai,ID,-3.33,128.92,77.38,87,97,6.2,heavy intensity rain
565,Tuy Hoa,VN,13.08,109.3,80.31,82,68,4.79,broken clouds
566,Cap Malheureux,MU,-19.98,57.61,73.0,73,49,5.01,scattered clouds
567,Loiza,PR,18.43,-65.88,89.01,66,40,16.11,scattered clouds
568,Fortuna,US,40.6,-124.16,71.6,53,20,4.7,few clouds
569,Sallanches,FR,45.94,6.63,68.0,56,75,10.29,broken clouds
570,Angoche,MZ,-16.23,39.91,71.71,67,8,10.8,clear sky
571,Kemijarvi,FI,66.71,27.43,50.79,84,46,6.15,scattered clouds
572,Mezhdurechensk,RU,53.69,88.06,44.91,78,100,1.23,overcast clouds
573,Sivas,TR,39.79,37.0,68.0,42,0,16.11,clear sky
574,Adrar,MR,20.5,-10.07,97.39,27,79,8.84,broken clouds
575,Kawalu,ID,-7.38,108.21,70.86,86,82,0.29,broken clouds
576,Tornio,FI,65.85,24.15,57.2,76,75,9.17,broken clouds
577,Conde,BR,-7.26,-34.91,84.2,62,75,17.22,broken clouds
578,Gejiu,CN,23.31,103.16,60.46,100,100,5.53,overcast clouds
579,Turayf,SA,31.67,38.66,98.6,11,40,8.05,scattered clouds
580,Mazamari,PE,-11.33,-74.53,97.11,29,17,2.53,few clouds
581,Kraljevo,RS,43.73,20.69,84.2,42,0,1.12,clear sky
582,Bogorodskoye,RU,56.55,37.88,60.98,69,95,8.48,overcast clouds
583,Khawhai,IN,23.37,93.12,62.65,100,100,1.01,overcast clouds
584,Itarema,BR,-2.92,-39.92,87.15,47,1,17.9,clear sky
585,Leiyang,CN,26.4,112.86,73.45,92,100,4.76,light rain
586,Guerrero Negro,MX,27.98,-114.06,90.73,41,0,5.55,clear sky
587,Goderich,CA,43.75,-81.72,72.0,86,66,4.0,broken clouds
588,Burgeo,CA,47.62,-57.62,63.75,69,0,9.08,clear sky
589,Kropotkin,RU,45.44,40.58,67.19,87,100,9.8,moderate rain
590,Lamu,KE,-2.27,40.9,75.61,78,0,13.89,clear sky
591,Orlik,RU,52.52,99.83,43.32,75,4,3.31,clear sky
592,Calafell,ES,41.2,1.57,82.0,100,0,7.0,clear sky
593,Xining,CN,36.62,101.77,55.27,60,77,3.29,broken clouds
594,Santa Cruz,BO,-17.8,-63.17,87.8,48,40,12.75,scattered clouds
595,Bam,IR,29.11,58.36,80.49,15,0,6.82,clear sky
596,Maturin,VE,9.75,-63.18,89.02,61,9,4.03,clear sky
597,Harbour Breton,CA,47.48,-55.8,68.0,100,62,6.93,broken clouds
598,Empalme,MX,27.97,-110.82,95.0,71,5,4.05,clear sky
599,Batticaloa,LK,7.71,81.69,77.86,79,100,14.99,overcast clouds
600,Teguise,ES,29.06,-13.56,75.2,83,1,18.34,clear sky
601,Goundam,ML,16.41,-3.67,95.36,32,0,4.7,clear sky
602,Brae,GB,60.4,-1.35,51.8,66,75,9.17,shower rain
603,Grand-Santi,GF,4.25,-54.38,92.84,46,27,3.13,scattered clouds
604,Souris,CA,49.62,-100.26,64.4,55,75,32.21,broken clouds
605,Tra Vinh,VN,9.93,106.35,78.91,87,88,4.61,overcast clouds
606,Adet,ET,11.26,37.49,58.84,79,13,3.51,light rain
607,Galle,LK,6.04,80.22,79.47,75,100,14.7,overcast clouds
608,Waynesville,US,35.49,-82.99,72.0,66,0,1.99,clear sky
609,Labytnangi,RU,66.66,66.42,52.21,60,50,1.57,scattered clouds
610,Kavieng,PG,-2.57,150.8,82.8,77,9,12.15,clear sky
611,Catalina Foothills,US,32.3,-110.92,97.0,23,0,3.0,clear sky
612,Dulovo,BG,43.82,27.15,77.0,37,0,5.03,clear sky
613,Ketchikan,US,55.34,-131.65,55.4,100,90,2.13,light rain
614,Bhunya,SZ,-26.55,31.02,54.3,72,4,3.65,clear sky
615,Vallenar,CL,-28.57,-70.76,77.05,17,66,9.19,broken clouds
616,Dvinskoy,RU,62.15,45.12,58.59,83,77,5.7,broken clouds
617,Magadan,RU,59.57,150.8,46.2,82,100,11.86,overcast clouds
618,Port-Cartier,CA,50.03,-66.87,59.0,62,75,9.17,broken clouds
619,Waingapu,ID,-9.66,120.26,74.05,83,29,5.57,scattered clouds
620,Aguililla,MX,18.73,-102.73,81.03,65,56,1.83,broken clouds
621,Salinas,US,36.68,-121.66,77.0,50,1,3.36,clear sky
622,Oranjemund,NA,-28.55,16.43,59.22,73,0,21.88,clear sky
623,Mana,GF,5.66,-53.78,82.15,84,8,9.48,clear sky
624,Phek,IN,25.67,94.5,60.67,100,100,1.12,overcast clouds
625,Alekseyevsk,RU,57.84,108.35,49.98,81,100,2.39,overcast clouds
626,Tabou,CI,4.42,-7.35,76.53,82,79,10.96,broken clouds
627,Kathu,TH,7.92,98.33,84.99,94,20,4.54,few clouds
628,Oriximina,BR,-1.77,-55.87,98.08,32,68,7.0,broken clouds
629,Harper,LR,4.38,-7.72,76.75,82,91,11.54,overcast clouds
630,Snezhnogorsk,RU,69.19,33.25,55.4,71,4,4.47,clear sky
631,Sorgun,TR,39.81,35.19,69.57,38,0,9.35,clear sky
632,Mukhen,RU,48.1,136.1,62.42,79,81,3.67,broken clouds
633,Ozernovskiy,RU,51.5,156.52,54.66,89,100,7.23,overcast clouds
634,Sibu,MY,2.3,111.82,75.2,94,40,1.5,scattered clouds
635,Omboue,GA,-1.57,9.26,75.76,74,18,9.73,few clouds
636,Araouane,ML,18.9,-3.53,101.93,18,0,4.54,clear sky
637,Lyuban,BY,52.8,28.0,60.8,94,100,5.41,light rain
638,Olinda,BR,-8.01,-34.86,84.2,51,20,12.75,few clouds
639,Snasa,NO,64.25,12.38,57.2,76,75,5.82,shower rain
640,Port Hedland,AU,-20.32,118.57,69.8,100,12,5.82,moderate rain
641,Tagusao,PH,9.19,117.81,82.08,74,54,2.55,broken clouds
642,Mumford,GH,5.26,-0.76,75.94,82,84,13.09,broken clouds
643,Pisz,PL,53.63,21.81,62.6,55,91,6.93,overcast clouds
644,North Kessock,GB,57.5,-4.24,60.8,51,20,5.82,few clouds
645,Rundu,NA,-17.93,19.77,75.96,19,0,5.64,clear sky
646,Juodupe,LT,56.08,25.62,55.44,89,24,5.14,few clouds
647,Nehe,CN,48.48,124.83,57.49,91,0,2.53,clear sky
648,Marovoay,MG,-16.1,46.63,77.0,69,20,6.93,few clouds
649,Aykhal,RU,66.0,111.5,35.6,93,96,6.71,overcast clouds
650,Paranaiba,BR,-19.68,-51.19,99.05,13,64,1.81,broken clouds
651,Kommunisticheskiy,RU,61.68,64.48,44.73,76,0,4.63,clear sky
652,Keti Bandar,PK,24.14,67.45,83.43,80,0,13.71,clear sky
653,Jacqueville,CI,5.21,-4.41,80.6,78,40,11.41,scattered clouds
654,The Valley,AI,18.22,-63.06,89.6,66,20,12.75,few clouds
655,Cumra,TR,37.57,32.77,78.8,34,20,6.93,few clouds
656,Prince George,CA,53.92,-122.75,55.99,93,90,2.24,overcast clouds
657,Mugur-Aksy,RU,50.35,90.5,42.78,80,91,3.78,overcast clouds
658,Calama,CL,-22.47,-68.93,71.6,4,0,5.82,clear sky
659,Rio Branco,BR,-9.97,-67.81,91.4,55,40,8.05,scattered clouds
660,Nyurba,RU,63.28,118.33,47.97,86,100,3.94,overcast clouds
661,Paramirim,BR,-13.44,-42.24,87.22,30,2,11.12,clear sky
662,Sirpur,IN,19.48,79.6,79.97,87,97,2.1,overcast clouds
663,Naryan-Mar,RU,67.67,53.09,57.06,85,87,6.58,overcast clouds
664,Ayr,GB,55.46,-4.63,62.6,59,20,5.82,few clouds
665,Ankazoabo,MG,-22.28,44.52,64.49,48,48,3.11,scattered clouds
666,Thap Than,TH,15.46,99.89,81.09,80,100,1.25,light rain
667,Roura,GF,4.73,-52.33,91.4,55,75,5.82,broken clouds
668,Asyut,EG,27.18,31.18,98.6,30,0,20.8,clear sky
669,Monterey,US,36.25,-121.25,91.0,50,1,3.36,clear sky
670,College,US,64.86,-147.8,43.0,93,20,5.82,fog
671,Alta Floresta,BR,-9.88,-56.09,109.89,10,7,3.49,clear sky
672,Fare,PF,-16.7,-151.02,77.94,78,54,13.76,light rain
673,Jacobabad,PK,28.28,68.44,93.97,30,3,8.3,clear sky
674,Whitianga,NZ,-36.83,175.7,55.0,93,100,1.99,light rain
675,Barcelos,PT,41.54,-8.62,90.0,40,0,9.17,clear sky
676,Aasiaat,GL,68.71,-52.87,37.02,80,79,13.29,broken clouds
677,Tiznit,MA,29.58,-9.5,86.7,34,0,6.26,clear sky
678,Russell,US,32.35,-85.2,84.99,48,1,14.99,clear sky
679,Pio Ix,BR,-6.84,-40.58,92.07,22,13,9.35,few clouds
680,Invermere,CA,50.52,-116.04,66.0,49,34,1.79,scattered clouds
681,Natal,BR,-5.79,-35.21,86.0,45,40,21.92,scattered clouds
682,Sri Aman,MY,1.24,111.46,75.2,100,100,2.24,moderate rain
683,Yerbogachen,RU,61.28,108.01,52.02,92,100,8.21,overcast clouds
684,Portland,US,45.52,-122.68,64.99,77,20,3.36,smoke
685,Alakurtti,RU,66.97,30.35,53.01,87,34,7.0,moderate rain
686,Tsogni,GA,-2.79,10.1,75.18,79,39,9.73,scattered clouds
687,Henderson,US,36.04,-114.98,98.01,10,1,1.88,clear sky
688,Kaseda,JP,31.42,130.32,78.8,78,90,19.46,shower rain
689,Cantanhede,BR,-3.63,-44.38,99.59,25,10,4.03,clear sky
690,Port Blair,IN,11.67,92.75,82.71,81,100,13.82,light rain
691,Synya,RU,65.37,58.04,53.28,95,89,7.11,overcast clouds
692,Butterworth,MY,5.4,100.36,82.4,83,40,2.24,scattered clouds
693,Tallahassee,US,30.44,-84.28,89.01,58,20,9.17,few clouds
694,Fort Saint James,CA,54.43,-124.25,53.92,90,99,0.78,overcast clouds
695,Aksu,CN,41.12,80.26,71.65,41,89,7.36,overcast clouds
696,Nalut,LY,30.33,10.85,91.74,19,52,14.61,broken clouds
697,Shar,KZ,49.59,81.05,49.05,51,67,4.88,broken clouds
698,Tevriz,RU,57.51,72.4,43.5,97,100,6.8,moderate rain
699,Kaminskiy,RU,57.15,41.47,60.12,72,98,7.05,overcast clouds
700,Shakiso,ET,5.75,38.92,61.39,88,88,3.38,overcast clouds
701,Ixtapa,MX,20.7,-105.2,82.0,83,90,3.36,overcast clouds
702,Iranshahr,IR,27.2,60.68,98.6,7,0,9.17,clear sky
703,Keighley,GB,53.87,-1.91,63.0,93,40,6.93,light intensity shower rain
