City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,83.03,overcast clouds,3.07,172.79,
6,Soyo,AO,77.0,broken clouds,-6.13,12.37,
9,Tabuk,PH,75.16,overcast clouds,17.42,121.44,
11,Chumphon,TH,75.56,overcast clouds,10.33,98.83,
12,Santo Tomas,PH,84.2,overcast clouds,14.11,121.14,
13,Surat,IN,85.01,moderate rain,21.17,72.83,
14,Baherden,TM,80.13,clear sky,38.44,57.43,
18,Ribeira Grande,PT,75.2,scattered clouds,38.52,-28.7,
28,Faanui,PF,77.56,light rain,-16.48,-151.75,
29,Georgetown,MY,82.4,scattered clouds,5.41,100.34,
35,Safita,SY,84.2,few clouds,34.82,36.12,
38,Shamkhal,RU,75.0,overcast clouds,43.06,47.34,
40,Vila Velha,BR,81.0,clear sky,-20.33,-40.29,
42,Touros,BR,86.0,scattered clouds,-5.2,-35.46,
47,Katsuura,JP,78.8,heavy intensity rain,35.13,140.3,
53,Bethel,US,75.99,broken clouds,41.37,-73.41,
54,Curuca,BR,88.93,scattered clouds,-0.73,-47.85,
58,Castro,BR,81.48,clear sky,-24.79,-50.01,
62,Oistins,BB,87.8,scattered clouds,13.07,-59.53,
65,Lompoc,US,78.8,clear sky,34.64,-120.46,
66,Boffa,GN,81.05,light rain,10.17,-14.03,
67,Corozal,CO,86.18,scattered clouds,9.32,-75.29,
69,Pathardi,IN,81.05,scattered clouds,19.17,75.18,
71,Ponta Do Sol,PT,78.8,few clouds,32.67,-17.1,
74,Victoria,HK,84.0,light rain,22.29,114.16,
80,Palmer,US,78.01,scattered clouds,42.16,-72.33,
82,Marsa Matruh,EG,77.38,clear sky,31.35,27.25,
84,Kuching,MY,75.2,scattered clouds,1.55,110.33,
87,Carutapera,BR,85.69,scattered clouds,-1.2,-46.02,
90,Hasaki,JP,75.2,light rain,35.73,140.83,
92,Westport,US,79.0,few clouds,41.14,-73.36,
98,Thinadhoo,MV,82.49,moderate rain,0.53,72.93,
103,Saint Anthony,US,75.99,clear sky,45.02,-93.22,
112,Sikasso,ML,80.19,light rain,10.92,-7.0,
114,Saint George,US,82.4,clear sky,37.1,-113.58,
117,Acapulco,MX,84.2,overcast clouds,16.86,-99.89,
118,Cabo San Lucas,MX,82.99,broken clouds,22.89,-109.91,
121,San Patricio,MX,89.6,scattered clouds,19.22,-104.7,
127,Kapaa,US,78.8,few clouds,22.08,-159.32,
130,Progreso,MX,90.0,broken clouds,21.28,-89.67,
131,Bayamo,CU,87.8,scattered clouds,20.38,-76.64,
132,El Dovio,CO,77.0,broken clouds,4.51,-76.24,
134,Lake City,US,89.01,scattered clouds,30.19,-82.64,
137,Gombe,NG,80.26,broken clouds,10.29,11.17,
139,Namie,JP,77.0,clear sky,37.48,141.0,
140,Acarau,BR,88.63,clear sky,-2.89,-40.12,
142,Yarmouth,US,77.0,clear sky,41.71,-70.23,
143,Kure,JP,84.99,light rain,34.23,132.57,
153,Anito,PH,79.34,scattered clouds,12.45,125.29,
154,Asahi,JP,75.2,broken clouds,35.72,140.65,
157,Champerico,GT,87.8,scattered clouds,14.3,-91.92,
165,Okmulgee,US,82.4,broken clouds,35.62,-95.96,
166,Fomboni,KM,75.52,clear sky,-12.28,43.74,
171,Hithadhoo,MV,82.13,overcast clouds,-0.6,73.08,
179,Mineros,BO,87.8,broken clouds,-17.12,-63.23,
180,Baoning,CN,78.8,light rain,25.34,110.03,
184,Pitsunda,GE,75.2,broken clouds,43.16,40.34,
186,Sao Filipe,CV,78.35,broken clouds,14.9,-24.5,
187,Mogadishu,SO,76.98,clear sky,2.04,45.34,
188,Coahuayana,MX,75.2,scattered clouds,18.73,-103.68,
189,Arraial Do Cabo,BR,86.0,broken clouds,-22.97,-42.03,
190,Brigantine,US,84.0,clear sky,39.41,-74.36,
192,Atuona,PF,78.39,clear sky,-9.8,-139.03,
194,Hambantota,LK,75.2,heavy intensity rain,6.12,81.12,
196,Bubaque,GW,79.99,scattered clouds,11.28,-15.83,
200,Bitung,ID,75.2,few clouds,1.45,125.18,
205,Hami,CN,79.77,scattered clouds,42.8,93.45,
206,Bloomfield,US,84.0,clear sky,40.81,-74.19,
208,Hamilton,US,81.0,scattered clouds,39.18,-84.53,
212,Marawi,PH,77.0,overcast clouds,8.0,124.29,
213,Nuevo Progreso,MX,75.99,moderate rain,23.17,-97.95,
216,Waynesboro,US,77.0,clear sky,38.07,-78.89,
217,Forest,US,82.0,clear sky,37.36,-79.29,
218,Mao,ES,78.8,few clouds,39.89,4.27,
219,Mattru,SL,76.77,light rain,7.62,-11.83,
225,Ambon,ID,79.0,light rain,-3.7,128.18,
230,Abu Samrah,SY,83.61,clear sky,35.3,37.18,
233,Roswell,US,81.0,clear sky,34.02,-84.36,
236,San Cristobal,VE,89.6,scattered clouds,7.77,-72.22,
238,Faya,SA,80.6,few clouds,18.39,42.45,
239,Grenville,GD,87.8,scattered clouds,12.12,-61.62,
240,Agadir,MA,84.2,clear sky,30.42,-9.6,
242,Alugan,PH,79.75,scattered clouds,12.22,125.48,
246,Veraval,IN,82.65,moderate rain,20.9,70.37,
247,Lufilufi,WS,75.0,broken clouds,-13.87,-171.6,
248,Ribeira Brava,PT,78.8,few clouds,32.65,-17.07,
252,Salalah,OM,80.6,broken clouds,17.02,54.09,
255,Toucheng,TW,77.0,scattered clouds,24.86,121.82,
256,Meulaboh,ID,76.57,overcast clouds,4.14,96.13,
271,Lorengau,PG,81.77,clear sky,-2.02,147.27,
274,Pyay,MM,77.41,overcast clouds,18.82,95.22,
281,Kimbe,PG,75.15,overcast clouds,-5.55,150.14,
282,Rincon,US,82.4,overcast clouds,32.3,-81.24,
285,Nishihara,JP,78.8,scattered clouds,26.18,127.76,
286,Cozumel,MX,87.8,scattered clouds,20.51,-86.95,
287,Matara,LK,77.31,moderate rain,5.95,80.54,
289,Simpang,ID,76.91,overcast clouds,-1.27,104.08,
291,Orel-Izumrud,RU,75.2,broken clouds,43.46,39.92,
292,Buala,SB,80.22,scattered clouds,-8.14,159.59,
297,Pampa,US,86.0,clear sky,35.54,-100.96,
299,Kaliwungu,ID,76.77,broken clouds,-6.96,110.25,
300,Hobyo,SO,76.62,broken clouds,5.35,48.53,
303,Koplik,AL,84.2,clear sky,42.21,19.44,
304,Maun,BW,84.2,clear sky,-19.98,23.42,
306,Auki,SB,77.86,scattered clouds,-8.77,160.7,
307,Itoman,JP,78.8,scattered clouds,26.12,127.67,
312,Sumenep,ID,79.65,few clouds,-7.02,113.87,
320,Gat,IL,86.0,clear sky,31.61,34.76,
321,Acajutla,SV,82.0,broken clouds,13.59,-89.83,
322,Meadow Lake,US,84.0,few clouds,34.8,-106.54,
323,Sao Jose Da Coroa Grande,BR,78.71,clear sky,-8.9,-35.15,
328,Guhagar,IN,80.24,heavy intensity rain,17.48,73.19,
329,Kishi,NG,77.36,moderate rain,9.08,3.85,
335,Cocobeach,GA,78.8,broken clouds,1.0,9.58,
337,Yaan,NG,75.0,light rain,7.38,8.57,
342,Sola,VU,79.27,overcast clouds,-13.88,167.55,
348,Mangrul Pir,IN,80.65,scattered clouds,20.32,77.35,
351,Bonthe,SL,78.76,light rain,7.53,-12.51,
352,Umm Lajj,SA,89.65,clear sky,25.02,37.27,
355,Aden,YE,86.38,scattered clouds,12.78,45.04,
356,Esmeraldas,BR,86.0,clear sky,-19.76,-44.31,
358,Savalou,BJ,79.56,moderate rain,7.93,1.98,
359,Quepos,CR,80.01,scattered clouds,9.42,-84.17,
360,Santa Cruz Do Capibaribe,BR,85.48,few clouds,-7.96,-36.2,
370,Siwana,IN,86.05,few clouds,25.63,72.42,
372,Nouadhibou,MR,84.2,light rain,20.93,-17.03,
375,Wajima,JP,81.7,scattered clouds,37.4,136.9,
380,Tulum,MX,87.8,scattered clouds,20.22,-87.47,
382,Salina Cruz,MX,84.06,overcast clouds,16.17,-95.2,
383,Sestri Levante,IT,75.99,clear sky,44.27,9.4,
389,Dingle,PH,77.7,overcast clouds,11.0,122.67,
392,Shingu,JP,79.27,overcast clouds,33.73,135.98,
397,Shakawe,BW,75.38,clear sky,-18.37,21.85,
400,Maceio,BR,80.6,scattered clouds,-9.67,-35.74,
402,Kahului,US,75.2,scattered clouds,20.89,-156.47,
405,Rosetta,EG,77.63,clear sky,31.4,30.42,
414,Luganville,VU,76.62,light rain,-15.53,167.17,
416,Labuhan,ID,78.03,broken clouds,-6.88,112.21,
422,La Romana,DO,89.6,scattered clouds,18.43,-68.97,
425,Payo,ID,75.87,overcast clouds,-3.75,103.64,
427,Manokwari,ID,79.47,overcast clouds,-0.87,134.08,
429,Tura,IN,75.09,moderate rain,25.52,90.22,
435,Tamiahua,MX,81.61,overcast clouds,21.27,-97.45,
436,Garoua,CM,86.0,few clouds,9.3,13.4,
437,Manadhoo,MV,82.6,overcast clouds,5.77,73.38,
438,Yenagoa,NG,79.54,overcast clouds,4.92,6.26,
440,Avera,US,82.4,clear sky,33.19,-82.53,
441,Salumbar,IN,80.35,few clouds,24.13,74.05,
442,Yima,CN,79.0,light rain,34.74,111.88,
443,Wanning,CN,82.13,overcast clouds,18.8,110.4,
446,Quincy,US,79.0,broken clouds,42.25,-71.0,
447,Nabire,ID,76.66,overcast clouds,-3.37,135.48,
448,Gamba,GA,75.36,scattered clouds,-2.65,10.0,
454,Puerto Lempira,HN,87.8,scattered clouds,15.27,-83.77,
457,Weligama,LK,77.9,light rain,5.97,80.42,
459,Kashi,CN,75.2,scattered clouds,39.45,75.98,
460,Namatanai,PG,79.34,overcast clouds,-3.67,152.43,
462,Venice,US,88.0,light rain,27.1,-82.45,
463,Laguna,US,82.99,haze,38.42,-121.42,
465,Requena,ES,84.99,scattered clouds,39.49,-1.1,
467,Thaton,MM,80.28,moderate rain,16.92,97.37,
470,Hala,PK,89.6,haze,25.81,68.42,
473,Kieta,PG,79.18,clear sky,-6.22,155.63,
474,Tecoanapa,MX,85.06,overcast clouds,16.52,-98.75,
477,Mikuni,JP,82.4,light intensity shower rain,36.22,136.15,
478,Ligayan,PH,84.65,clear sky,4.65,119.47,
479,Fernley,US,80.01,clear sky,39.61,-119.25,
480,Katherine,AU,78.8,clear sky,-14.47,132.27,
483,Corralillo,CU,86.5,light rain,22.98,-80.59,
484,Barquisimeto,VE,82.4,few clouds,10.07,-69.32,
485,Backi Petrovac,RS,86.0,clear sky,45.36,19.59,
487,Lingao,CN,82.22,overcast clouds,19.91,109.69,
489,Chabahar,IR,84.2,clear sky,25.29,60.64,
494,Pizarro,CO,77.68,moderate rain,4.95,-77.37,
495,Bengkulu,ID,76.06,overcast clouds,-3.8,102.27,
498,Le Mars,US,84.2,clear sky,42.79,-96.17,
500,Kihei,US,75.2,scattered clouds,20.79,-156.47,
505,Zatoka,UA,82.4,clear sky,46.07,30.47,
506,Peniche,PT,82.99,clear sky,39.36,-9.38,
510,Luz,BR,88.12,few clouds,-19.8,-45.69,
512,Naifaru,MV,82.45,overcast clouds,5.44,73.37,
514,Kano,NG,80.53,overcast clouds,12.0,8.52,
518,Jamame,SO,75.97,scattered clouds,0.07,42.75,
520,Buarcos,PT,89.01,clear sky,40.17,-8.88,
521,Kavaratti,IN,82.31,heavy intensity rain,10.57,72.64,
523,Tevaitoa,PF,78.4,broken clouds,-16.78,-151.5,
525,Marsh Harbour,BS,84.96,overcast clouds,26.54,-77.06,
527,Piracaia,BR,86.0,few clouds,-23.05,-46.36,
532,Kutum,SD,84.31,scattered clouds,14.2,24.67,
535,Nha Trang,VN,86.0,few clouds,12.25,109.18,
537,Sao Joao Da Barra,BR,87.8,clear sky,-21.64,-41.05,
539,Cotonou,BJ,82.4,scattered clouds,6.37,2.42,
540,Tanakpur,IN,80.44,clear sky,29.08,80.12,
543,Bathsheba,BB,87.8,scattered clouds,13.22,-59.52,
544,Winneba,GH,82.4,few clouds,5.35,-0.62,
548,Gashua,NG,88.99,scattered clouds,12.87,11.05,
549,Deulgaon Raja,IN,79.48,light rain,20.02,76.03,
553,Qui Nhon,VN,81.57,few clouds,13.77,109.23,
556,Maragogi,BR,78.26,clear sky,-9.01,-35.22,
557,Vaitape,PF,78.39,light rain,-16.52,-151.75,
561,Huilong,CN,81.0,scattered clouds,31.81,121.66,
564,Amahai,ID,77.38,heavy intensity rain,-3.33,128.92,
565,Tuy Hoa,VN,80.31,broken clouds,13.08,109.3,
567,Loiza,PR,89.01,scattered clouds,18.43,-65.88,
577,Conde,BR,84.2,broken clouds,-7.26,-34.91,
581,Kraljevo,RS,84.2,clear sky,43.73,20.69,
584,Itarema,BR,87.15,clear sky,-2.92,-39.92,
590,Lamu,KE,75.61,clear sky,-2.27,40.9,
592,Calafell,ES,82.0,clear sky,41.2,1.57,
594,Santa Cruz,BO,87.8,scattered clouds,-17.8,-63.17,
595,Bam,IR,80.49,clear sky,29.11,58.36,
596,Maturin,VE,89.02,clear sky,9.75,-63.18,
599,Batticaloa,LK,77.86,overcast clouds,7.71,81.69,
600,Teguise,ES,75.2,clear sky,29.06,-13.56,
605,Tra Vinh,VN,78.91,overcast clouds,9.93,106.35,
607,Galle,LK,79.47,overcast clouds,6.04,80.22,
610,Kavieng,PG,82.8,clear sky,-2.57,150.8,
612,Dulovo,BG,77.0,clear sky,43.82,27.15,
615,Vallenar,CL,77.05,broken clouds,-28.57,-70.76,
620,Aguililla,MX,81.03,broken clouds,18.73,-102.73,
621,Salinas,US,77.0,clear sky,36.68,-121.66,
623,Mana,GF,82.15,clear sky,5.66,-53.78,
626,Tabou,CI,76.53,broken clouds,4.42,-7.35,
627,Kathu,TH,84.99,few clouds,7.92,98.33,
629,Harper,LR,76.75,overcast clouds,4.38,-7.72,
634,Sibu,MY,75.2,scattered clouds,2.3,111.82,
635,Omboue,GA,75.76,few clouds,-1.57,9.26,
638,Olinda,BR,84.2,few clouds,-8.01,-34.86,
641,Tagusao,PH,82.08,broken clouds,9.19,117.81,
642,Mumford,GH,75.94,broken clouds,5.26,-0.76,
648,Marovoay,MG,77.0,few clouds,-16.1,46.63,
652,Keti Bandar,PK,83.43,clear sky,24.14,67.45,
653,Jacqueville,CI,80.6,scattered clouds,5.21,-4.41,
654,The Valley,AI,89.6,few clouds,18.22,-63.06,
655,Cumra,TR,78.8,few clouds,37.57,32.77,
661,Paramirim,BR,87.22,clear sky,-13.44,-42.24,
662,Sirpur,IN,79.97,overcast clouds,19.48,79.6,
666,Thap Than,TH,81.09,light rain,15.46,99.89,
672,Fare,PF,77.94,light rain,-16.7,-151.02,
675,Barcelos,PT,90.0,clear sky,41.54,-8.62,
677,Tiznit,MA,86.7,clear sky,29.58,-9.5,
678,Russell,US,84.99,clear sky,32.35,-85.2,
681,Natal,BR,86.0,scattered clouds,-5.79,-35.21,
682,Sri Aman,MY,75.2,moderate rain,1.24,111.46,
686,Tsogni,GA,75.18,scattered clouds,-2.79,10.1,
688,Kaseda,JP,78.8,shower rain,31.42,130.32,
690,Port Blair,IN,82.71,light rain,11.67,92.75,
692,Butterworth,MY,82.4,scattered clouds,5.4,100.36,
693,Tallahassee,US,89.01,few clouds,30.44,-84.28,
701,Ixtapa,MX,82.0,overcast clouds,20.7,-105.2,
